nom,type,entrees,lat,lng
Auvergne-Rhône-Alpes,Région,"21,86",45.2968119,4.6604809
Bourgogne-Franche-Comté,Région,"6,2",47.32464599609375,5.041869163513184
Bretagne,Région,"9,62",48.2640845,-2.9202408
Centre-ValdeLoire,Région,"5,83",47.5490251,1.7324062
Corse,Région,"0,75",42.1880896,9.0684138
GrandEst,Région,"12,78",48.4845157,6.113035
Hauts-de-France,Région,"13,8",50.1024606,2.7247515
Ile-de-France,Région,"43,55",48.6443057,2.7537863
Normandie,Région,"8,11",49.0677708,0.3138532
Nouvelle-Aquitaine,Région,"16,09",45.4039367,0.3756199
Occitanie,Région,"15,38",43.6487851,2.3435684
PaysdelaLoire,Région,"10,77",47.6594864,-0.8186143
Provence-Alpes-Côted'Azur,Région,"15,65",44.06841278076172,5.99199104309082
Ain,Département,"0,9",46.0652385,5.2847717
Aisne,Département,"0,8",49.4532854,3.606899
Allier,Département,"0,62",46.3674641,3.1638828
Alpes-de-Haute-Provence,Département,"0,45",44.1640832,6.1878515
Hautes-Alpes,Département,"0,43",44.6564666,6.3520246
Alpes-Maritimes,Département,"3,57",43.9210587,7.1790785
Ardèche,Département,"0,53",44.815194,4.3986525
Ardennes,Département,"0,44",49.6980117,4.6716005
Ariège,Département,"0,18",42.9455368,1.4065544
Aube,Département,"0,63",48.3201921,4.1905397
Aude,Département,"0,85",43.0542733,2.5124715
Aveyron,Département,"0,57",44.3158574,2.5065697
Bouches-du-Rhône,Département,"6,25",43.5424182,5.0343236
Calvados,Département,"2,04",49.0907648,-0.2413951
Cantal,Département,"0,22",45.0497701,2.6997176
Charente,Département,"0,84",45.6667902,0.097305
Charente-Maritime,Département,"1,99",45.7302267,-0.7212876
Cher,Département,"0,61",47.0248824,2.5753334
Corrèze,Département,"0,54",45.3429047,1.8176424
Corse-du-Sud,Département,"1,37",41.8734082,9.0087052
Haute-Corse,Département,"1,35",42.4219698,9.1009065
Côte-d'Or,Département,"0,16",47.4655034,4.7481223
Côtes-d'Armor,Département,"0,82",48.4614877,-2.7514328
Creuse,Département,"1,38",46.0593485,2.048901
Dordogne,Département,"1,44",45.1429198,0.6321258
Doubs,Département,"1,03",47.0669915,6.2356228
Drôme,Département,"0,83",44.7295347,5.2046372
Essonne,Département,"2,39",48.5303402,2.2392918
Eure-et-Loir,Département,"0,47",48.4474102,1.399882
Finistère,Département,"0,28",48.2451152,-4.0440902
Gard,Département,"1,51",43.95995,4.297637
Haute-Garonne,Département,"4,79",43.3054546,0.9716792
