from,to,type,label,weight
002c,001c,Direct,Etats-Unis – France,1880
003c,001c,Direct,Allemagne – France,189
004c,001c,Direct,Belgique – France,42
005c,001c,Direct,Danemark – France,35
006c,001c,Direct,Espagne – France,135
007c,001c,Direct,Grande-Bretagne – France,412
008c,001c,Direct,Grèce – France,8
009c,001c,Direct,Irlande – France,19
010c,001c,Direct,Italie – France,174
011c,001c,Direct,Pays-Bas – France,10
012c,001c,Direct,Pologne – France,32
013c,001c,Direct,République Tchèque – France,9
014c,001c,Direct,Russie – France,51
015c,001c,Direct,Suède – France,51
016c,001c,Direct,Suisse – France,33
017c,001c,Direct,Australie – France,32
018c,001c,Direct,Brésil – France,33
019c,001c,Direct,Canada – France,73
020c,001c,Direct,Chine – France,46
021c,001c,Direct,Corée du Sud – France,54
022c,001c,Direct,Egypte – France,9
023c,001c,Direct,Inde – France,74
024c,001c,Direct,Iran – France,41
025c,001c,Direct,Japon – France,223
026c,001c,Direct,Mexique – France,30
