id,label,group,apparitions,image
001a,Robert Downey Jr. (Iron Man),acteur,4,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Robert-Downey-Jr.-renoncera-t-il-a-Iron-Man.jpg?raw=true
001r,Jon Favreau,réalisateur,2,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153128.png?raw=true
002a,Gwyneth Paltrow (Pepper Potts),acteur,3,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/MV5BNzIxOTQ1NTU1OV5BMl5BanBnXkFtZTcwMTQ4MDY0Nw@@._V1_.jpg?raw=true
003a,Terrence Howard (Rhodey),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/440307.jpg?raw=true
004a,Jeff Bridges (Iron Monger),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Jeff_Bridges_by_Gage_Skidmore_3.jpg?raw=true
005a,Clark Gregg (Phil Coulson),acteur,4,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/170976_v9_bb.jpg?raw=true
006a,Paul Bettany (JARVIS),acteur,3,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Paul-Bettany-1.jpg?raw=true
007a,Samuel L. Jackson (Nick Fury),acteur,5,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153145.png?raw=true
002r,Louis Leterrier,réalisateur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/265140_v9_bb.jpg?raw=true
008a,Edward Norton (Hulk),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Edward-Norton-photo-237.jpg?raw=true
009a,Liv Tyler (Betty Ross),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153502.png?raw=true
010a,Tim Roth (Abomination),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/MV5BMjA5NTA3MDQyOV5BMl5BanBnXkFtZTcwODM4NDE3Mw@@._V1_FMjpg_UX1000_.jpg?raw=true
001f,Iron Man (2008),film,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153512.png?raw=true
002f,L'Incroyable Hulk (2008),film,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153525.png?raw=true
011a,William Hurt (Thunderbolt Ross),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153727.png?raw=true
003f,Iron Man 2 (2010),film,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/s-l1200.jpg?raw=true
012a,Don Cheadle (War Machine),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153737.png?raw=true
014a,Scarlett Johansson (Black Widow),acteur,2,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153745.png?raw=true
004f,Thor (2011),film,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153800.png?raw=true
003r,Kenneth Branagh,réalisateur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Kenneth_Branagh_at_diff_2015.jpg?raw=true
013a,Chris Hemsworth (Thor),acteur,2,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Chris_Hemsworth_by_Gage_Skidmore_3.jpg?raw=true
015a,Tom Hiddleston (Loki),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/286678_v9_bc.jpg?raw=true
016a,Jeremy Renner (Hawkeye),acteur,2,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20153933.png?raw=true
005f,Captain America: First Avenger (2011),film,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/s-l1200%20(1).jpg?raw=true
004r,Joe Johnston,réalisateur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20154200.png?raw=true
017a,Chris Evans (Captain Ameria),acteur,2,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20154207.png?raw=true
018a,Hugo Weaving (Crâne rouge),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/27163_v9_bb.jpg?raw=true
019a,Sebastian Stan (Winter Soldier),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/MV5BMWEwYjgxMDQtYmRkOS00MGFiLThjMzMtZGQ2ZjBhMTcyOWNlXkEyXkFqcGc@._V1_.jpg?raw=true
006f,Avengers (2012),film,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/s-l1200%20(2).jpg?raw=true
005r,Joss Whedon,réalisateur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Capture%20d'%C3%A9cran%202025-01-21%20154216.png?raw=true
020a,Mark Ruffalo (Hulk),acteur,1,https://github.com/ThomasBantchik/S1_CNC/blob/main/Photos_MCU/Mark-Ruffalo-photo-3069.jpg?raw=true
